"outcomeName","trueLogRr","logRr","seLogRr"
"GiBleed","","0.23718133425468901","0.10795783654525"
"Neck pain","0","-0.118952248275551","0.108685357769212"
"Neck pain","0.405465108108164","0.30083996223339898","0.098957670214235405"
"Neck pain","1.3862943611198899","1.26574457726221","0.085809047060886698"
"Neck pain","0.69314718055994495","0.56860836186298802","0.094175882432410193"
"Curvature of spine","0","0.143796256914237","0.18717751117270601"
"Dislocation of joint","0","0.12908549907472899","0.30241170309347198"
"Peripheral vertigo","0","0.295038943587002","0.177163695142177"
"Effusion of joint","0.405465108108164","0.154738287097272","0.12132558438050201"
"Effusion of joint","0","-0.29260644657535301","0.13551669363273999"
"Effusion of joint","1.3862943611198899","1.1075090964427401","0.103995616645001"
"Effusion of joint","0.69314718055994495","0.43407690506903301","0.114782791838782"
"Urinary tract infectious disease","0.69314718055994495","0.62996836222794395","0.064697644890219799"
"Urinary tract infectious disease","0.405465108108164","0.33005800131052698","0.068224957737928693"
"Urinary tract infectious disease","1.3862943611198899","1.27342013781095","0.059634380429842898"
"Urinary tract infectious disease","0","-0.064025069264103202","0.074316273353620899"
"Chronic ulcer of skin","0.405465108108164","0.25429625184972998","0.12723172952102599"
"Chronic ulcer of skin","0","-0.121634158357094","0.13865756367737"
"Chronic ulcer of skin","1.3862943611198899","1.2251010218955001","0.109715402915549"
"Chronic ulcer of skin","0.69314718055994495","0.54908251684682996","0.12027810265159999"
"Ingrowing nail","0","-0.186011873538384","0.13320849922907099"
"Ingrowing nail","1.3862943611198899","1.1784906212477799","0.10446856617454101"
"Ingrowing nail","0.69314718055994495","0.49547436638019998","0.11490099898355501"
"Ingrowing nail","0.405465108108164","0.24135112577561901","0.120741380041505"
"Verruca vulgaris","0","-0.28692174276029703","0.19416575269507699"
"Osteomyelitis","0","-0.055345034176259397","0.28216203775739601"
"Simple goiter","0","-0.069027460903146806","0.16778596074993199"
"Seborrheic keratosis","0.69314718055994495","0.68168329496630997","0.089744508151001295"
"Seborrheic keratosis","0.405465108108164","0.40199255057733002","0.094241363203092607"
"Seborrheic keratosis","0","0.035374631958726997","0.10176439092788001"
"Seborrheic keratosis","1.3862943611198899","1.35287592674732","0.082745429416282296"
"Diabetic renal disease","0","-0.42765594056105899","0.20798857230838699"
"Urge incontinence of urine","0","0.252567308891402","0.20950965660256499"
"Gallstone","0.69314718055994495","0.64227118161706298","0.11848876629682201"
"Gallstone","0.405465108108164","0.43532443865675102","0.122914755568531"
"Gallstone","0","0.028517026895948799","0.13415051495003699"
"Gallstone","1.3862943611198899","1.32642792085227","0.10863122733441299"
"Hyperplasia of prostate","0.69314718055994495","0.62123700663414905","0.091484417983851499"
"Hyperplasia of prostate","1.3862943611198899","1.2975058411793901","0.083667664018535398"
"Hyperplasia of prostate","0","-0.019979888548378701","0.104259348147774"
"Hyperplasia of prostate","0.405465108108164","0.38103856753736698","0.0955880137135625"
"Dysuria","0.405465108108164","0.459226380966548","0.13409989873184999"
"Dysuria","1.3862943611198899","1.4679286699155101","0.11757534861557099"
"Dysuria","0","0.069597511597477596","0.14536869475785799"
"Dysuria","0.69314718055994495","0.74129659715130902","0.12804052869780799"
"Prolapse of female genital organs","0","0.74752455532014295","0.4317556792544"
"Crohn's disease","0","-0.202337455961383","0.29129968061721201"
"Bronchiectasis","0","-0.17424537140299401","0.28251201650222502"
"Allergic rhinitis","0.405465108108164","0.50976165940193896","0.11052232143235401"
"Allergic rhinitis","1.3862943611198899","1.5077912982584201","0.097644719649133099"
"Allergic rhinitis","0","0.102393493167537","0.11979597145000601"
"Allergic rhinitis","0.69314718055994495","0.83865898201524502","0.10513552811008001"
"Chronic sinusitis","0.405465108108164","0.48118426090275901","0.12912571399577599"
"Chronic sinusitis","0","0.049158911162143201","0.14112820524915601"
"Chronic sinusitis","0.69314718055994495","0.73285081428760002","0.12403193261537999"
"Chronic sinusitis","1.3862943611198899","1.4503003742906799","0.114030190368589"
"Acute bronchitis","0.405465108108164","0.38114315162821299","0.087920420789975903"
"Acute bronchitis","0.69314718055994495","0.65065387059808799","0.083751071466668797"
"Acute bronchitis","1.3862943611198899","1.34703830961008","0.076964645434288506"
"Acute bronchitis","0","-0.033581738371154198","0.096077398311579298"
"Atelectasis","0.69314718055994495","0.59104241724286799","0.069464238688903196"
"Atelectasis","0","-0.056675293240418402","0.079319078395678894"
"Atelectasis","0.405465108108164","0.33449808141110399","0.072690146101155401"
"Atelectasis","1.3862943611198899","1.2910478136279699","0.063232609215715593"
"Sleep apnea","1.3862943611198899","1.4941907854718","0.061743890718496501"
"Sleep apnea","0.405465108108164","0.50648347158849505","0.069786263553879499"
"Sleep apnea","0.69314718055994495","0.80617223896735002","0.066554231541871595"
"Sleep apnea","0","0.120311945958664","0.075645586736581394"
"Bundle branch block","0.69314718055994495","0.73644045432828298","0.083572008886594801"
"Bundle branch block","0","0.019732033125081701","0.096241001530763898"
"Bundle branch block","0.405465108108164","0.44416704436962301","0.087902628779825007"
"Bundle branch block","1.3862943611198899","1.41387273233139","0.0770916806018411"
"Otitis media","0","0.42040249243727401","0.214351555646175"
"Presbyopia","0","-0.150216403882309","0.17337547915330501"
"Multiple sclerosis","0","-0.53233422083772097","0.58556944382015796"
"Blepharitis","1.3862943611198899","1.1463812165254801","0.110609351617419"
"Blepharitis","0.69314718055994495","0.485202855063878","0.121537691865212"
